"StichtagDatJahr","DatenstandCd","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"D","Baldo",2003,"1","männlich",1,1
2015,"D","Balduin",2014,"1","männlich",1,1
2015,"D","Baldur",2010,"1","männlich",1,1
2015,"D","Balim",2013,"2","weiblich",2,1
2015,"D","Balloo",2014,"2","weiblich",2,1
2015,"D","Ballou",2015,"1","männlich",1,1
2015,"D","Bally",2011,"2","weiblich",2,1
2015,"D","Baloo",2007,"1","männlich",1,1
2015,"D","Baloo",2010,"1","männlich",1,1
2015,"D","Balosch",1998,"1","männlich",1,1
2015,"D","Balou",2000,"1","männlich",1,1
2015,"D","Balou",2001,"1","männlich",1,1
2015,"D","Balou",2005,"1","männlich",1,1
2015,"D","Balou",2006,"1","männlich",1,1
2015,"D","Balou",2008,"1","männlich",1,1
2015,"D","Balou",2009,"1","männlich",1,1
2015,"D","Balou",2010,"1","männlich",1,1
2015,"D","Balou",2012,"1","männlich",1,1
2015,"D","Balou",2013,"1","männlich",1,1
2015,"D","Balou (Dschowo's Julio)",2013,"1","männlich",1,1
2015,"D","Balu",2005,"1","männlich",1,1
2015,"D","Balu",2007,"1","männlich",1,2
2015,"D","Balu",2008,"1","männlich",1,1
2015,"D","Balu",2010,"1","männlich",1,1
2015,"D","Balu",2011,"1","männlich",1,4
2015,"D","Balu",2013,"1","männlich",1,2
2015,"D","Balu",2014,"1","männlich",1,1
2015,"D","Balu",2015,"1","männlich",1,1
2015,"D","Balu (Happy Balu)",2014,"1","männlich",1,1
2015,"D","Balu (Hathi)",2013,"2","weiblich",2,1
2015,"D","Balu (Orion)",2014,"1","männlich",1,1
2015,"D","Balu (Speedy)",2007,"1","männlich",1,1
2015,"D","Balu Buddha",2012,"1","männlich",1,1
2015,"D","Baly (Newton)",2007,"1","männlich",1,1
2015,"D","Balz 2",2003,"1","männlich",1,1
2015,"D","Bambi",2005,"1","männlich",1,1
2015,"D","Bambi (Naomi)",2006,"2","weiblich",2,1
2015,"D","Bambino",2015,"1","männlich",1,1
2015,"D","Bamble Bee (Taiga)",2010,"2","weiblich",2,1
2015,"D","Bamboo",2004,"1","männlich",1,1
2015,"D","Bamboo Gold",2009,"1","männlich",1,1
2015,"D","Banana",2003,"2","weiblich",2,1
2015,"D","Bancho",2004,"1","männlich",1,1
2015,"D","Banchun",2012,"1","männlich",1,1
2015,"D","Bandit",2005,"1","männlich",1,1
2015,"D","Bandita",2009,"2","weiblich",2,1
2015,"D","Banga",2012,"1","männlich",1,1
2015,"D","Bango (Luna)",2007,"2","weiblich",2,1
2015,"D","Banja",2002,"1","männlich",1,1
2015,"D","Banjo",2003,"1","männlich",1,1
2015,"D","Banu",2013,"2","weiblich",2,1
2015,"D","Barabas",2005,"1","männlich",1,1
2015,"D","Barfi",2012,"1","männlich",1,1
2015,"D","Barholomeus",2004,"1","männlich",1,1
2015,"D","Baris-Lesli",2012,"1","männlich",1,1
2015,"D","Barney",2012,"1","männlich",1,2
2015,"D","Barney (Leo vom Ammeler)",2011,"1","männlich",1,1
